venue_id,organizer_id,venue_name,venue_type,address,city,state,pincode,capacity,seating_plan,status,created_at
VEN-2026-000001,ORG-2026-000001,"Skyline Cinema",CINEMA,"Madhapur Main Road",Hyderabad,Telangana,500081,250,"{"vip": 30, "premium": 70, "regular": 150}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000002,ORG-2026-000001,"Skyline Convention Hall",EVENT_HALL,"Hitech City Road",Hyderabad,Telangana,500081,1200,"{"vip": 100, "general": 800, "premium": 300}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000003,ORG-2026-000002,"DreamScreen Multiplex",CINEMA,"Banjara Hills Road",Hyderabad,Telangana,500034,300,"{"vip": 40, "premium": 80, "regular": 180}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000004,ORG-2026-000002,"DreamScreen Auditorium",AUDITORIUM,"Jubilee Hills Road",Hyderabad,Telangana,500033,800,"{"vip": 80, "premium": 220, "regular": 500}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000005,ORG-2026-000003,"Starline Cinema",CINEMA,"Kukatpally Main Road",Hyderabad,Telangana,500072,350,"{"vip": 40, "premium": 90, "regular": 220}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000006,ORG-2026-000003,"Starline Event Arena",EVENT_HALL,"Gachibowli Main Road",Hyderabad,Telangana,500032,2000,"{"vip": 150, "general": 1400, "premium": 450}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000007,ORG-2026-000004,"Royal Cricket Stadium",STADIUM,"Gachibowli Stadium Road",Hyderabad,Telangana,500032,30000,"{"vip": 5000, "general": 15000, "premium": 10000}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000008,ORG-2026-000004,"Royal Indoor Arena",STADIUM,"Secunderabad Stadium Road",Hyderabad,Telangana,500003,8000,"{"vip": 500, "general": 5000, "premium": 2500}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000009,ORG-2026-000005,"LiveWave Concert Hall",CONCERT_HALL,"Koramangala Main Road",Bengaluru,Karnataka,560095,5000,"{"vip": 500, "general": 3000, "premium": 1500}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000010,ORG-2026-000005,"LiveWave Open Ground",EVENT_HALL,"Whitefield Main Road",Bengaluru,Karnataka,560066,12000,"{"vip": 1000, "general": 8000, "premium": 3000}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000011,ORG-2026-000007,"PrimeStage Theatre",AUDITORIUM,"Andheri West Road",Mumbai,Maharashtra,400053,1000,"{"vip": 100, "premium": 300, "regular": 600}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000012,ORG-2026-000007,"PrimeStage Cinema",CINEMA,"Malad West Road",Mumbai,Maharashtra,400064,400,"{"vip": 50, "premium": 100, "regular": 250}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000013,ORG-2026-000008,"Urban Fest Grounds",EVENT_HALL,"Viman Nagar Road",Pune,Maharashtra,411014,10000,"{"vip": 500, "general": 7000, "premium": 2500}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000014,ORG-2026-000008,"Urban Fest Auditorium",AUDITORIUM,"Kothrud Main Road",Pune,Maharashtra,411038,1500,"{"vip": 150, "premium": 450, "regular": 900}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000015,ORG-2026-000001,"Skyline Cinema 2",CINEMA,"Kondapur Main Road",Hyderabad,Telangana,500084,280,"{"vip": 30, "premium": 80, "regular": 170}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000016,ORG-2026-000002,"DreamScreen Cinema 2",CINEMA,"Madhapur Main Road",Hyderabad,Telangana,500081,320,"{"vip": 40, "premium": 90, "regular": 190}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000017,ORG-2026-000003,"Starline Auditorium",AUDITORIUM,"Ameerpet Main Road",Hyderabad,Telangana,500016,900,"{"vip": 100, "premium": 250, "regular": 550}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000018,ORG-2026-000004,"Royal Football Ground",STADIUM,"Uppal Stadium Road",Hyderabad,Telangana,500039,20000,"{"vip": 2000, "general": 13000, "premium": 5000}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000019,ORG-2026-000005,"LiveWave Festival Arena",EVENT_HALL,"Electronic City Road",Bengaluru,Karnataka,560100,15000,"{"vip": 1000, "general": 10000, "premium": 4000}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000020,ORG-2026-000007,"PrimeStage Concert Hall",CONCERT_HALL,"Bandra Main Road",Mumbai,Maharashtra,400050,4000,"{"vip": 400, "general": 2500, "premium": 1100}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000021,ORG-2026-000008,"Urban Fest Arena",EVENT_HALL,"Hinjewadi Main Road",Pune,Maharashtra,411057,7000,"{"vip": 500, "general": 4500, "premium": 2000}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000022,ORG-2026-000001,"Skyline Movie Hub",CINEMA,"Ameerpet Main Road",Hyderabad,Telangana,500016,300,"{"vip": 40, "premium": 80, "regular": 180}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000023,ORG-2026-000002,"DreamScreen City Hall",AUDITORIUM,"Madhapur Road",Hyderabad,Telangana,500081,900,"{"vip": 100, "premium": 250, "regular": 550}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000024,ORG-2026-000003,"Starline Grand Arena",EVENT_HALL,"Kondapur Main Road",Hyderabad,Telangana,500084,5000,"{"vip": 400, "general": 3300, "premium": 1300}",ACTIVE,"2026-09-08 12:49:00"
VEN-2026-000025,ORG-2026-000004,"Royal Indoor Stadium",STADIUM,"Stadium Road",Vijayawada,"Andhra Pradesh",520010,12000,"{"vip": 1000, "general": 7000, "premium": 4000}",ACTIVE,"2026-09-08 12:49:00"
